Date,Weather
5/31/2020,ms
6/1/2020,ms
6/2/2020,ms
6/3/2020,ms
6/4/2020,c
6/5/2020,c
6/6/2020,c
6/7/2020,ms
6/8/2020,ms
6/9/2020,ms
6/10/2020,ms
6/11/2020,ms
6/12/2020,ms
6/13/2020,ms
6/14/2020,ms
6/15/2020,ms
6/16/2020,c
6/17/2020,c
6/18/2020,c
6/19/2020,c
6/20/2020,c
6/21/2020,c
6/22/2020,c
6/23/2020,c
6/24/2020,c
6/25/2020,c
6/26/2020,c
6/27/2020,c
6/28/2020,c
6/29/2020,c
6/30/2020,ms
7/1/2020,c
7/2/2020,c
7/3/2020,ms
7/4/2020,ms
7/5/2020,ms
7/6/2020,ms
7/7/2020,ms
7/8/2020,ms
7/9/2020,ms
7/10/2020,ms
7/11/2020,ms
7/12/2020,ms
7/13/2020,ms
7/14/2020,c
7/15/2020,ms
7/16/2020,ms
7/17/2020,c
7/18/2020,ms
7/19/2020,ms
7/20/2020,ms
7/21/2020,ms
7/22/2020,c
7/23/2020,c
7/24/2020,c
7/25/2020,c
7/26/2020,ms
7/27/2020,ms
7/28/2020,ms
7/29/2020,ms
7/30/2020,c
7/31/2020,ms
8/1/2020,ms
8/2/2020,f
8/3/2020,c
8/4/2020,c
8/5/2020,c
8/6/2020,c
8/7/2020,ms
8/8/2020,ms
8/9/2020,ms
8/10/2020,ms
8/11/2020,ms
8/12/2020,ms
8/13/2020,ms
8/14/2020,ms
8/15/2020,ms
8/16/2020,ms
8/17/2020,ms
8/18/2020,ms
8/19/2020,ms
8/20/2020,ms
8/21/2020,ms
8/22/2020,ms
8/23/2020,ms
8/24/2020,ms
8/25/2020,ms
8/26/2020,ms
8/27/2020,ms
8/28/2020,ms
8/29/2020,ms
8/30/2020,c
8/31/2020,ms
9/1/2020,c
9/2/2020,ms
9/3/2020,ms
9/4/2020,ms
9/5/2020,ms
9/6/2020,ms
9/7/2020,c
9/8/2020,c
9/9/2020,ms
9/10/2020,f
9/11/2020,f
9/12/2020,f
9/13/2020,f
9/14/2020,f
9/15/2020,f
9/16/2020,f
9/17/2020,ms
9/18/2020,ms
9/19/2020,ms
9/20/2020,ms
9/21/2020,c
9/22/2020,ms
9/23/2020,ms
9/24/2020,ms
9/25/2020,c
9/26/2020,c
9/27/2020,c
9/28/2020,f
9/29/2020,f
9/30/2020,ms
10/1/2020,ms
