Date,Weather
7/19/2023,mc
7/20/2023,r
7/21/2023,mc
7/22/2023,ms
7/23/2023,r
7/24/2023,ms
7/25/2023,ms
7/26/2023,mc
7/27/2023,ms
7/28/2023,mc
7/29/2023,ms
7/30/2023,mc
7/31/2023,ms
8/1/2023,ms
8/2/2023,ms
8/3/2023,ms
8/4/2023,ms
8/5/2023,ms
8/6/2023,ss
8/7/2023,c
8/8/2023,ms
8/9/2023,ms
8/10/2023,ms
8/11/2023,ms
8/12/2023,ms
8/13/2023,mc
8/14/2023,c
8/15/2023,c
8/16/2023,ms
8/17/2023,t
8/18/2023,ms
8/19/2023,ms
8/20/2023,ms
8/21/2023,ms
8/22/2023,c
8/23/2023,t
8/24/2023,t
8/25/2023,c
8/26/2023,c
8/27/2023,ms
8/28/2023,ms
8/29/2023,ms
8/30/2023,c
8/31/2023,ms
9/1/2023,ms
9/2/2023,ms
9/3/2023,ms
9/4/2023,ms
9/5/2023,ms
9/6/2023,ss
9/7/2023,c
9/8/2023,c
9/9/2023,c
9/10/2023,c
9/11/2023,c
9/12/2023,ss
9/13/2023,ms
9/14/2023,ms
9/15/2023,c
9/16/2023,ms
9/17/2023,c
9/18/2023,pc
9/19/2023,ms
9/20/2023,c
9/21/2023,ms
9/22/2023,ms
9/23/2023,ms
9/24/2023,ms
9/25/2023,c
9/26/2023,c
9/27/2023,c
9/28/2023,c
9/29/2023,c
9/30/2023,f
10/1/2023,f
10/2/2023,ms
10/3/2023,ms
10/4/2023,ms
10/5/2023,ss
10/6/2023,ms
10/7/2023,c
10/8/2023,c
10/9/2023,ms
10/10/2023,c
10/11/2023,c
10/12/2023,c
10/13/2023,c
10/14/2023,ss
10/15/2023,c
10/16/2023,c
10/17/2023,c
10/18/2023,ms
10/19/2023,ss
10/20/2023,c
10/21/2023,c
10/22/2023,ms
10/23/2023,ms
10/24/2023,ms
10/25/2023,c
10/26/2023,c
10/27/2023,mc
10/28/2023,c
10/29/2023,c
10/30/2023,c
10/31/2023,c
11/1/2023,ms
11/2/2023,c
11/3/2023,ms
11/4/2023,c
11/5/2023,f
11/6/2023,ms
11/7/2023,c
11/8/2023,ss
11/9/2023,c
11/10/2023,c
11/11/2023,ms
11/12/2023,ms
11/13/2023,ms
11/14/2023,ms
11/15/2023,ms
11/16/2023,ms
11/17/2023,c
11/18/2023,ms
11/19/2023,ms
11/20/2023,ms
11/21/2023,ss
11/22/2023,c
11/23/2023,c
11/24/2023,ms
11/25/2023,c
11/26/2023,s
11/27/2023,s
11/28/2023,c
11/29/2023,c
11/30/2023,ms
12/1/2023,ss
12/2/2023,c
12/3/2023,f
12/4/2023,c
12/5/2023,c
12/6/2023,c
12/7/2023,c
12/8/2023,c
12/9/2023,c
12/10/2023,c
12/11/2023,c
12/12/2023,ms
12/13/2023,ms
12/14/2023,ms
12/15/2023,ms
12/16/2023,ms
12/17/2023,ss
12/18/2023,s
12/19/2023,c
12/20/2023,c
12/21/2023,c
12/22/2023,c
12/23/2023,ss
12/24/2023,f
12/25/2023,f
12/26/2023,c
12/27/2023,c
12/28/2023,ss
12/29/2023,c
12/30/2023,c
12/31/2023,c
1/1/2024,c
1/2/2024,c
1/3/2024,f
1/4/2024,c
1/5/2024,c
1/6/2024,s
1/7/2024,s
1/8/2024,c
1/9/2024,ss
1/10/2024,c
1/11/2024,s
1/12/2024,s
1/13/2024,s
1/14/2024,s
1/15/2024,ms
1/16/2024,s
1/17/2024,c
1/18/2024,s
1/19/2024,s
1/20/2024,c
1/21/2024,c
1/22/2024,c
1/23/2024,ss
1/24/2024,ss
1/25/2024,f
1/26/2024,c
1/27/2024,c
1/28/2024,c
1/29/2024,c
1/30/2024,s
1/31/2024,c
2/1/2024,c
2/2/2024,c
2/3/2024,c
2/4/2024,f
2/5/2024,c
2/6/2024,ms
2/7/2024,ms
2/8/2024,ms
2/9/2024,mc
2/10/2024,c
2/11/2024,c
2/12/2024,c
2/13/2024,c
2/14/2024,c
2/15/2024,c
2/16/2024,c
2/17/2024,mc
2/18/2024,c
2/19/2024,ms
2/20/2024,ms
2/21/2024,ms
2/22/2024,ms
2/23/2024,f
2/24/2024,c
2/25/2024,ms
2/26/2024,ms
2/27/2024,ms
2/28/2024,c
2/29/2024,ms
3/1/2024,ms
3/2/2024,c
3/3/2024,c
3/4/2024,ms
3/5/2024,c
3/6/2024,c
3/7/2024,c
3/8/2024,ss
3/9/2024,c
3/10/2024,c
3/11/2024,ms
3/12/2024,ms
3/13/2024,ms
3/14/2024,ss
3/15/2024,ms
3/16/2024,c
3/17/2024,c
3/18/2024,c
3/19/2024,c
3/20/2024,s
3/21/2024,ms
3/22/2024,s
3/23/2024,c
3/24/2024,ms
3/25/2024,ms
3/26/2024,ss
3/27/2024,c
3/28/2024,ms
3/29/2024,ms
3/30/2024,c
3/31/2024,c
4/1/2024,ms
4/2/2024,ss
4/3/2024,c
4/4/2024,c
4/5/2024,c
4/6/2024,ms
4/7/2024,ms
4/8/2024,ms
4/9/2024,ms
4/10/2024,ms
4/11/2024,ss
4/12/2024,ss
4/13/2024,ms
4/14/2024,ms
4/15/2024,ms
4/16/2024,ms
4/17/2024,c
4/18/2024,c
4/19/2024,ss
4/20/2024,c
4/21/2024,c
4/22/2024,ms
4/23/2024,c
4/24/2024,c
4/25/2024,ms
4/26/2024,ms
4/27/2024,c
4/28/2024,ss
4/29/2024,r
4/30/2024,ms
5/1/2024,c
5/2/2024,ms
5/3/2024,ss
5/4/2024,c
5/5/2024,c
5/6/2024,ms
5/7/2024,c
5/8/2024,ms
5/9/2024,ss
5/10/2024,c
5/11/2024,c
5/12/2024,ms
5/13/2024,ms
5/14/2024,ms
5/15/2024,ms
5/16/2024,ms
5/17/2024,ss
5/18/2024,c
5/19/2024,ms
5/20/2024,ms
5/21/2024,ms
5/22/2024,ms
5/23/2024,ms
5/24/2024,ms
5/25/2024,ms
5/26/2024,ms
5/27/2024,c
5/28/2024,c
5/29/2024,ms
5/30/2024,ms
5/31/2024,ms
6/1/2024,ms
6/2/2024,c
6/3/2024,f
6/4/2024,ms
6/5/2024,mc
6/6/2024,ms
6/7/2024,c
6/8/2024,ms
6/9/2024,c
6/10/2024,c
6/11/2024,ms
6/12/2024,ms
6/13/2024,ms
6/14/2024,ms
6/15/2024,ms
6/16/2024,ms
6/17/2024,ms
6/18/2024,ms
6/19/2024,ms
6/20/2024,t
6/21/2024,ms
6/22/2024,ms
6/23/2024,c
6/24/2024,ms
6/25/2024,t
6/26/2024,ms
6/27/2024,c
6/28/2024,ms
6/29/2024,ss
6/30/2024,c
7/1/2024,ms
7/2/2024,ms
7/3/2024,ms
7/4/2024,ms
7/5/2024,f
7/6/2024,mc
7/7/2024,ms
7/8/2024,ms
7/9/2024,ms
7/10/2024,ss
7/11/2024,ms
7/12/2024,ms
7/13/2024,ms
7/14/2024,ms
7/15/2024,ms
7/16/2024,c
7/17/2024,ms
7/18/2024,ms
